vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
tfidf,cosine,0.0,0.4,go,True,24.096385542168676,25.961538461538463,0.25930620142741867,0.07145304042839652
tfidf,cosine,600,1.0,go,True,14.457831325301203,13.461538461538462,0.11450664877513254,0.030486848603473053
tfidf,cosine,0.0,1.0,java,False,22.878228782287824,23.79862700228833,0.22059960927484526,0.10209509473249413
tfidf,cosine,0.0,0.7,javascript,False,21.630094043887148,23.49397590361446,0.20636769822953865,0.0910474715586873
tfidf,cosine,0.5,0.6,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,300,1.0,javascript,True,19.74921630094044,21.084337349397593,0.17279846595473214,0.07094966889088457
tfidf,cosine,0.01,0.6,go,False,2.4096385542168677,1.9230769230769231,0.013067040369730073,0.0023935196366575997
tfidf,cosine,0.1,0.8,python,True,0.10111223458038424,0.11376564277588168,0.002387681565420775,0.00036427632906519395
tfidf,cosine,0.3,0.8,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.9,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.5,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.6,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.4,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,100,None,go,True,19.879518072289155,19.230769230769234,0.18171335073736072,0.04572485646501063
tfidf,cosine,0.6,0.9,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.7,java,True,0.24600246002460024,0.0,0.0,0.0
tfidf,cosine,0.6,1.0,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.8,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,400,0.8,javascript,True,19.435736677115987,20.481927710843372,0.17007557065857126,0.07082454768523662
tfidf,cosine,0.3,0.5,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.8,python,False,6.572295247724974,6.825938566552901,0.08973002312757111,0.036702097823674715
tfidf,cosine,600,0.8,go,True,15.060240963855422,14.423076923076922,0.12185958995160313,0.03206304540473151
tfidf,cosine,700,0.8,java,True,19.557195571955717,19.450800915331808,0.17781244085407066,0.08497078568418615
tfidf,cosine,0.01,0.9,python,False,6.572295247724974,6.825938566552901,0.08973002312757111,0.036702097823674715
tfidf,cosine,0.1,0.7,java,False,0.24600246002460024,0.0,0.0,0.0
